time_us, pwm, position, angle
964943926, 0, 0.216249, -0.230907
964953926, 0, 0.220768, -0.171217
964963926, 0, 0.22424, -0.111527
964973926, 0, 0.226714, -0.0471239
964983926, 0, 0.227682, 0.0172788
964993926, 0, 0.227662, 0.0785398
965003926, 0, 0.226544, 0.149226
965013926, 0, 0.22434, 0.21677
965023926, 0, 0.221407, 0.29531
965033926, 0, 0.217865, 0.367566
965043926, 0, 0.213884, 0.439823
965053926, 0, 0.209465, 0.519934
965063926, 0, 0.205315, 0.579624
965073926, 0, 0.200436, 0.658164
965083926, 0, 0.195358, 0.725708
965093926, 0, 0.19022, 0.796394
965103926, 0, 0.184773, 0.86708
965113926, 0, 0.179895, 0.925199
965123926, 0, 0.174348, 0.992743
965133926, 0, 0.168761, 1.05715
965143926, 0, 0.163005, 1.11684
965153926, 0, 0.157877, 1.17496
965163926, 0, 0.152051, 1.2315
965173926, 0, 0.146244, 1.28805
965183926, 0, 0.140358, 1.34146
965193926, 0, 0.135071, 1.38701
965203926, 0, 0.129185, 1.43728
965213926, 0, 0.123328, 1.4844
965223926, 0, 0.117323, 1.52996
965233926, 0, 0.111397, 1.57237
965243926, 0, 0.106009, 1.6085
965253926, 0, 0.100034, 1.64777
965263926, 0, 0.0940377, 1.68389
965273926, 0, 0.0880618, 1.71531
965283926, 0, 0.0826147, 1.74515
965293926, 0, 0.0766887, 1.77343
965303926, 0, 0.0706829, 1.8017
965313926, 0, 0.0646571, 1.82684
965323926, 0, 0.0592499, 1.84569
965333926, 0, 0.0531942, 1.86768
965343926, 0, 0.0471585, 1.88496
965353926, 0, 0.0411527, 1.90223
965363926, 0, 0.0356856, 1.91323
965373926, 0, 0.0296699, 1.9258
965383926, 0, 0.0236341, 1.93679
965393926, 0, 0.0176483, 1.94308
965403926, 0, 0.0116225, 1.94936
965413926, 0, 0.00616542, 1.9525
965423926, 0, 0.000129693, 1.9525
965433926, 0, -0.00590604, 1.9525
965443926, 0, -0.0120016, 1.94936
965453926, 0, -0.0174388, 1.94622
965463926, 0, -0.0234945, 1.93836
965473926, 0, -0.0294703, 1.92894
965483926, 0, -0.0354861, 1.91951
965493926, 0, -0.0409731, 1.90695
965503926, 0, -0.0470288, 1.89124
965513926, 0, -0.0530346, 1.87396
965523926, 0, -0.0591003, 1.85511
965533926, 0, -0.0645674, 1.83469
965543926, 0, -0.0705831, 1.81113
965553926, 0, -0.0766687, 1.786
965563926, 0, -0.0826247, 1.75772
965573926, 0, -0.0886804, 1.72631
965583926, 0, -0.0941275, 1.69803
965593926, 0, -0.100153, 1.66347
965603926, 0, -0.106199, 1.62734
965613926, 0, -0.112265, 1.5865
965623926, 0, -0.117652, 1.55038
965633926, 0, -0.123727, 1.50639
965643926, 0, -0.129753, 1.46084
965653926, 0, -0.135789, 1.41372
965663926, 0, -0.141266, 1.36816
965673926, 0, -0.147212, 1.31633
965683926, 0, -0.153248, 1.26292
965693926, 0, -0.159263, 1.2048
965703926, 0, -0.164741, 1.15296
965713926, 0, -0.170766, 1.09327
965723926, 0, -0.176782, 1.02887
965733926, 0, -0.182778, 0.96604
965743926, 0, -0.188225, 0.906349
965753926, 0, -0.194231, 0.838805
965763926, 0, -0.200237, 0.76969
965773926, 0, -0.206262, 0.699004
965783926, 0, -0.21162, 0.634602
965793926, 0, -0.217506, 0.560774
965803926, 0, -0.223123, 0.485376
965813926, 0, -0.228071, 0.408407
965823926, 0, -0.231942, 0.328296
965833926, 0, -0.234366, 0.254469
965843926, 0, -0.235852, 0.168075
965853926, 0, -0.236072, 0.0816814
965863926, 0, -0.235433, -0.00942478
965873926, 0, -0.233388, -0.100531
965883926, 0, -0.230764, -0.199491
965893926, 0, -0.227492, -0.290597
