pwm, time_us, position, angle
10, 1321746901, -0.212667, 0.0408407
10, 1321751901, -0.212378, 0.0424115
10, 1321756901, -0.212079, 0.0455531
10, 1321761901, -0.211769, 0.0486947
10, 1321766901, -0.21148, 0.0502655
10, 1321771901, -0.211171, 0.0518363
10, 1321776901, -0.210871, 0.0549779
10, 1321781901, -0.210582, 0.0565487
10, 1321786901, -0.210293, 0.0596903
10, 1321791901, -0.209994, 0.0612611
10, 1321796901, -0.209694, 0.0644026
10, 1321801901, -0.209395, 0.0659734
10, 1321806901, -0.209086, 0.0675442
10, 1321811901, -0.208786, 0.069115
10, 1321816901, -0.208487, 0.0722566
10, 1321821901, -0.208198, 0.0738274
10, 1321826901, -0.207908, 0.0753982
10, 1321831901, -0.207629, 0.076969
10, 1321836901, -0.20734, 0.0785398
10, 1321841901, -0.20706, 0.0816814
10, 1321846901, -0.206781, 0.0832522
10, 1321851901, -0.206502, 0.084823
10, 1321856901, -0.206232, 0.0863938
10, 1321861901, -0.205963, 0.0879646
10, 1321866901, -0.205704, 0.0895354
10, 1321871901, -0.205434, 0.0911062
10, 1321876901, -0.205185, 0.092677
10, 1321881901, -0.204965, 0.0942478
10, 1321886901, -0.204706, 0.0958186
10, 1321891901, -0.204447, 0.0958186
10, 1321896901, -0.204177, 0.0973894
10, 1321901901, -0.203908, 0.0989602
10, 1321906901, -0.203649, 0.100531
10, 1321911901, -0.203379, 0.100531
10, 1321916901, -0.20311, 0.102102
10, 1321921901, -0.20284, 0.103673
10, 1321926901, -0.202561, 0.103673
10, 1321931901, -0.202262, 0.105243
10, 1321936901, -0.201973, 0.105243
10, 1321941901, -0.201693, 0.106814
10, 1321946901, -0.201394, 0.106814
10, 1321951901, -0.201105, 0.108385
10, 1321956901, -0.200805, 0.108385
10, 1321961901, -0.200496, 0.108385
10, 1321966901, -0.200197, 0.108385
10, 1321971901, -0.199877, 0.109956
10, 1321976901, -0.199578, 0.109956
10, 1321981901, -0.199289, 0.109956
10, 1321986901, -0.19899, 0.109956
10, 1321991901, -0.19868, 0.109956
10, 1321996901, -0.198371, 0.109956
10, 1322001901, -0.198062, 0.109956
10, 1322006901, -0.197743, 0.109956
10, 1322011901, -0.197453, 0.109956
10, 1322016901, -0.197144, 0.109956
10, 1322021901, -0.196835, 0.108385
10, 1322026901, -0.196515, 0.108385
10, 1322031901, -0.196196, 0.108385
10, 1322036901, -0.195867, 0.106814
10, 1322041901, -0.195568, 0.106814
10, 1322046901, -0.195268, 0.106814
10, 1322051901, -0.194959, 0.105243
10, 1322056901, -0.19465, 0.105243
10, 1322061901, -0.194341, 0.105243
10, 1322066901, -0.194041, 0.103673
10, 1322071901, -0.193752, 0.102102
10, 1322076901, -0.193473, 0.102102
10, 1322081901, -0.193193, 0.100531
10, 1322086901, -0.192904, 0.0989602
10, 1322091901, -0.192625, 0.0989602
10, 1322096901, -0.192335, 0.0973894
10, 1322101901, -0.192046, 0.0958186
10, 1322106901, -0.191767, 0.0958186
10, 1322111901, -0.191477, 0.0942478
10, 1322116901, -0.191188, 0.092677
10, 1322121901, -0.190899, 0.0911062
10, 1322126901, -0.190599, 0.0895354
10, 1322131901, -0.1903, 0.0879646
10, 1322136901, -0.190011, 0.0863938
10, 1322141901, -0.189712, 0.084823
10, 1322146901, -0.189472, 0.0832522
10, 1322151901, -0.189173, 0.0816814
10, 1322156901, -0.188864, 0.0801106
10, 1322161901, -0.188554, 0.0785398
10, 1322166901, -0.188245, 0.076969
10, 1322171901, -0.187926, 0.0738274
10, 1322176901, -0.187597, 0.0722566
10, 1322181901, -0.187277, 0.0706858
10, 1322186901, -0.186958, 0.069115
10, 1322191901, -0.186639, 0.0659734
10, 1322196901, -0.18631, 0.0644026
10, 1322201901, -0.18597, 0.0612611
10, 1322206901, -0.185641, 0.0596903
10, 1322211901, -0.185322, 0.0581195
10, 1322216901, -0.184993, 0.0549779
10, 1322221901, -0.184673, 0.0534071
10, 1322226901, -0.184344, 0.0502655
10, 1322231901, -0.184025, 0.0486947
10, 1322236901, -0.183696, 0.0455531
10, 1322241901, -0.183376, 0.0439823
10, 1322246901, -0.183057, 0.0408407
10, 1322251901, -0.182728, 0.0392699
10, 1322256901, -0.182399, 0.0361283
10, 1322261901, -0.18208, 0.0345575
10, 1322266901, -0.18178, 0.0314159
10, 1322271901, -0.181461, 0.0298451
10, 1322276901, -0.181162, 0.0267035
10, 1322281901, -0.180852, 0.0235619
10, 1322286901, -0.180553, 0.0219911
10, 1322291901, -0.180254, 0.0188496
10, 1322296901, -0.179965, 0.0172788
10, 1322301901, -0.179675, 0.0141372
10, 1322306901, -0.179386, 0.0109956
10, 1322311901, -0.179097, 0.00942478
10, 1322316901, -0.178807, 0.00628319
10, 1322321901, -0.178528, 0.00471239
10, 1322326901, -0.178239, 0.0015708
10, 1322331901, -0.177959, 0
10, 1322336901, -0.17767, -0.00314159
10, 1322341901, -0.177391, -0.00628319
10, 1322346901, -0.177121, -0.00785398
10, 1322351901, -0.176842, -0.0109956
10, 1322356901, -0.176563, -0.0125664
10, 1322361901, -0.176273, -0.015708
10, 1322366901, -0.175974, -0.0172788
10, 1322371901, -0.175695, -0.0204204
10, 1322376901, -0.175405, -0.0235619
10, 1322381901, -0.175116, -0.0251327
10, 1322386901, -0.174817, -0.0267035
10, 1322391901, -0.174527, -0.0298451
10, 1322396901, -0.174228, -0.0329867
10, 1322401901, -0.173939, -0.0345575
10, 1322406901, -0.17364, -0.0376991
10, 1322411901, -0.17335, -0.0392699
10, 1322416901, -0.173111, -0.0408407
10, 1322421901, -0.172811, -0.0439823
10, 1322426901, -0.172522, -0.0455531
10, 1322431901, -0.172233, -0.0486947
10, 1322436901, -0.171944, -0.0502655
10, 1322441901, -0.171634, -0.0518363
10, 1322446901, -0.171335, -0.0549779
10, 1322451901, -0.171046, -0.0565487
10, 1322456901, -0.170746, -0.0581195
10, 1322461901, -0.170457, -0.0612611
10, 1322466901, -0.170148, -0.0628319
10, 1322471901, -0.169848, -0.0644026
10, 1322476901, -0.169549, -0.0659734
10, 1322481901, -0.16925, -0.069115
10, 1322486901, -0.168951, -0.0706858
10, 1322491901, -0.168641, -0.0722566
10, 1322496901, -0.168352, -0.0738274
10, 1322501901, -0.168053, -0.0753982
10, 1322506901, -0.167773, -0.076969
10, 1322511901, -0.167494, -0.0785398
10, 1322516901, -0.167215, -0.0801106
10, 1322521901, -0.166945, -0.0816814
10, 1322526901, -0.166666, -0.0832522
10, 1322531901, -0.166397, -0.084823
10, 1322536901, -0.166137, -0.0863938
10, 1322541901, -0.165868, -0.0879646
10, 1322546901, -0.165599, -0.0895354
10, 1322551901, -0.165349, -0.0895354
10, 1322556901, -0.16508, -0.0911062
10, 1322561901, -0.16481, -0.092677
10, 1322566901, -0.164561, -0.092677
10, 1322571901, -0.164282, -0.0942478
10, 1322576901, -0.164022, -0.0958186
10, 1322581901, -0.163763, -0.0958186
10, 1322586901, -0.163493, -0.0973894
10, 1322591901, -0.163224, -0.0973894
10, 1322596901, -0.162955, -0.0989602
10, 1322601901, -0.162665, -0.0989602
10, 1322606901, -0.162366, -0.100531
10, 1322611901, -0.162087, -0.100531
10, 1322616901, -0.161807, -0.100531
10, 1322621901, -0.161518, -0.102102
10, 1322626901, -0.161229, -0.102102
10, 1322631901, -0.16092, -0.102102
10, 1322636901, -0.16062, -0.103673
10, 1322641901, -0.160311, -0.103673
10, 1322646901, -0.160002, -0.103673
10, 1322651901, -0.159712, -0.103673
10, 1322656901, -0.159413, -0.103673
10, 1322661901, -0.159124, -0.103673
10, 1322666901, -0.158805, -0.103673
10, 1322671901, -0.158505, -0.103673
10, 1322676901, -0.158256, -0.103673
10, 1322681901, -0.157957, -0.103673
10, 1322686901, -0.157657, -0.103673
10, 1322691901, -0.157358, -0.103673
10, 1322696901, -0.157039, -0.103673
10, 1322701901, -0.15672, -0.103673
10, 1322706901, -0.1564, -0.102102
10, 1322711901, -0.156081, -0.102102
10, 1322716901, -0.155772, -0.102102
10, 1322721901, -0.155472, -0.100531
10, 1322726901, -0.155163, -0.100531
10, 1322731901, -0.154854, -0.100531
10, 1322736901, -0.154545, -0.0989602
10, 1322741901, -0.154245, -0.0989602
10, 1322746901, -0.153966, -0.0973894
10, 1322751901, -0.153687, -0.0973894
10, 1322756901, -0.153407, -0.0958186
10, 1322761901, -0.153128, -0.0942478
10, 1322766901, -0.152849, -0.0942478
10, 1322771901, -0.152559, -0.092677
10, 1322776901, -0.15226, -0.0911062
10, 1322781901, -0.151991, -0.0895354
10, 1322786901, -0.151711, -0.0895354
10, 1322791901, -0.151422, -0.0879646
10, 1322796901, -0.151133, -0.0863938
10, 1322801901, -0.150843, -0.084823
10, 1322806901, -0.150534, -0.0832522
10, 1322811901, -0.150235, -0.0816814
10, 1322816901, -0.149955, -0.0801106
10, 1322821901, -0.149656, -0.0785398
10, 1322826901, -0.149357, -0.076969
10, 1322831901, -0.149048, -0.0753982
10, 1322836901, -0.148738, -0.0738274
10, 1322841901, -0.148429, -0.0722566
10, 1322846901, -0.14813, -0.0706858
10, 1322851901, -0.147821, -0.069115
10, 1322856901, -0.147501, -0.0675442
10, 1322861901, -0.147182, -0.0659734
10, 1322866901, -0.146863, -0.0628319
10, 1322871901, -0.146534, -0.0612611
10, 1322876901, -0.146214, -0.0596903
10, 1322881901, -0.145895, -0.0581195
10, 1322886901, -0.145576, -0.0565487
10, 1322891901, -0.145257, -0.0534071
10, 1322896901, -0.144937, -0.0518363
10, 1322901901, -0.144618, -0.0502655
10, 1322906901, -0.144279, -0.0486947
10, 1322911901, -0.14396, -0.0455531
10, 1322916901, -0.14364, -0.0439823
10, 1322921901, -0.143321, -0.0424115
10, 1322926901, -0.142992, -0.0392699
10, 1322931901, -0.142663, -0.0376991
10, 1322936901, -0.142334, -0.0345575
10, 1322941901, -0.142014, -0.0329867
10, 1322946901, -0.141775, -0.0314159
10, 1322951901, -0.141476, -0.0282743
10, 1322956901, -0.141176, -0.0267035
10, 1322961901, -0.140867, -0.0235619
10, 1322966901, -0.140578, -0.0219911
10, 1322971901, -0.140278, -0.0188496
10, 1322976901, -0.139989, -0.0172788
10, 1322981901, -0.13971, -0.0141372
10, 1322986901, -0.13942, -0.0125664
10, 1322991901, -0.139141, -0.00942478
10, 1322996901, -0.138852, -0.00785398
10, 1323001901, -0.138572, -0.00471239
10, 1323006901, -0.138283, -0.0015708
10, 1323011901, -0.138004, 0
10, 1323016901, -0.137714, 0.00314159
10, 1323021901, -0.137435, 0.00471239
10, 1323026901, -0.137156, 0.00785398
10, 1323031901, -0.136876, 0.00942478
10, 1323036901, -0.136587, 0.0125664
10, 1323041901, -0.136288, 0.0141372
10, 1323046901, -0.135998, 0.0172788
10, 1323051901, -0.135719, 0.0188496
10, 1323056901, -0.13543, 0.0219911
10, 1323061901, -0.13515, 0.0235619
10, 1323066901, -0.134851, 0.0267035
10, 1323071901, -0.134552, 0.0282743
10, 1323076901, -0.134253, 0.0314159
10, 1323081901, -0.133963, 0.0329867
10, 1323086901, -0.133674, 0.0361283
10, 1323091901, -0.133385, 0.0376991
10, 1323096901, -0.133095, 0.0392699
10, 1323101901, -0.132806, 0.0424115
10, 1323106901, -0.132497, 0.0439823
10, 1323111901, -0.132197, 0.0471239
10, 1323116901, -0.131898, 0.0486947
10, 1323121901, -0.131609, 0.0502655
10, 1323126901, -0.1313, 0.0518363
10, 1323131901, -0.13101, 0.0549779
10, 1323136901, -0.130721, 0.0565487
10, 1323141901, -0.130422, 0.0581195
10, 1323146901, -0.130122, 0.0612611
10, 1323151901, -0.129813, 0.0628319
10, 1323156901, -0.129514, 0.0644026
10, 1323161901, -0.129225, 0.0659734
10, 1323166901, -0.128925, 0.0675442
10, 1323171901, -0.128626, 0.069115
10, 1323176901, -0.128337, 0.0706858
10, 1323181901, -0.128057, 0.0738274
10, 1323186901, -0.127778, 0.0753982
10, 1323191901, -0.127509, 0.0753982
10, 1323196901, -0.127239, 0.076969
10, 1323201901, -0.12695, 0.0801106
10, 1323206901, -0.126681, 0.0801106
10, 1323211901, -0.126451, 0.0816814
10, 1323216901, -0.126212, 0.0832522
10, 1323221901, -0.125952, 0.084823
10, 1323226901, -0.125703, 0.0863938
10, 1323231901, -0.125443, 0.0879646
