pwm, time_us, position, angle
50, 3679299823, -0.172233, 0.0581195
50, 3679304823, -0.171814, 0.0581195
50, 3679309823, -0.171405, 0.0581195
50, 3679314823, -0.170996, 0.0581195
50, 3679319823, -0.170567, 0.0581195
50, 3679324823, -0.170148, 0.0581195
50, 3679329823, -0.169739, 0.0581195
50, 3679334823, -0.16933, 0.0581195
50, 3679339823, -0.168911, 0.0581195
50, 3679344823, -0.168482, 0.0581195
50, 3679349823, -0.168063, 0.0565487
50, 3679354823, -0.167674, 0.0565487
50, 3679359823, -0.167275, 0.0565487
50, 3679364823, -0.166875, 0.0565487
50, 3679369823, -0.166466, 0.0565487
50, 3679374823, -0.166077, 0.0565487
50, 3679379823, -0.165698, 0.0549779
50, 3679384823, -0.165309, 0.0549779
50, 3679389823, -0.16492, 0.0549779
50, 3679394823, -0.164521, 0.0549779
50, 3679399823, -0.164152, 0.0534071
50, 3679404823, -0.163763, 0.0534071
50, 3679409823, -0.163374, 0.0534071
50, 3679414823, -0.163045, 0.0518363
50, 3679419823, -0.162645, 0.0518363
50, 3679424823, -0.162236, 0.0502655
50, 3679429823, -0.161847, 0.0502655
50, 3679434823, -0.161438, 0.0502655
50, 3679439823, -0.161019, 0.0486947
50, 3679444823, -0.16059, 0.0486947
50, 3679449823, -0.160181, 0.0471239
50, 3679454823, -0.159772, 0.0471239
50, 3679459823, -0.159373, 0.0455531
50, 3679464823, -0.158944, 0.0455531
50, 3679469823, -0.158525, 0.0439823
50, 3679474823, -0.158106, 0.0424115
50, 3679479823, -0.157687, 0.0424115
50, 3679484823, -0.157268, 0.0408407
50, 3679489823, -0.156829, 0.0392699
50, 3679494823, -0.1564, 0.0392699
50, 3679499823, -0.155981, 0.0376991
50, 3679504823, -0.155542, 0.0361283
50, 3679509823, -0.155113, 0.0361283
50, 3679514823, -0.154684, 0.0345575
50, 3679519823, -0.154265, 0.0329867
50, 3679524823, -0.153876, 0.0329867
50, 3679529823, -0.153467, 0.0314159
50, 3679534823, -0.153058, 0.0298451
50, 3679539823, -0.152649, 0.0282743
50, 3679544823, -0.15224, 0.0282743
50, 3679549823, -0.151821, 0.0267035
50, 3679554823, -0.151422, 0.0251327
50, 3679559823, -0.151003, 0.0235619
50, 3679564823, -0.150584, 0.0219911
50, 3679569823, -0.150175, 0.0219911
50, 3679574823, -0.149756, 0.0204204
50, 3679579823, -0.149337, 0.0188496
50, 3679584823, -0.148908, 0.0172788
50, 3679589823, -0.148569, 0.0172788
50, 3679594823, -0.14816, 0.015708
50, 3679599823, -0.147721, 0.0141372
50, 3679604823, -0.147282, 0.0125664
50, 3679609823, -0.146853, 0.0109956
50, 3679614823, -0.146424, 0.00942478
50, 3679619823, -0.145985, 0.00942478
50, 3679624823, -0.145546, 0.00785398
50, 3679629823, -0.145127, 0.00628319
50, 3679634823, -0.144678, 0.00471239
50, 3679639823, -0.144239, 0.00314159
50, 3679644823, -0.1438, 0.0015708
50, 3679649823, -0.143371, 0
50, 3679654823, -0.142922, -0.0015708
50, 3679659823, -0.142463, -0.0015708
50, 3679664823, -0.142044, -0.00314159
50, 3679669823, -0.141635, -0.00471239
50, 3679674823, -0.141186, -0.00628319
50, 3679679823, -0.140747, -0.00785398
50, 3679684823, -0.140348, -0.00942478
50, 3679689823, -0.139949, -0.00942478
50, 3679694823, -0.13953, -0.0109956
50, 3679699823, -0.139111, -0.0125664
50, 3679704823, -0.138712, -0.0141372
50, 3679709823, -0.138303, -0.015708
50, 3679714823, -0.137894, -0.015708
50, 3679719823, -0.137495, -0.0172788
50, 3679724823, -0.137086, -0.0188496
50, 3679729823, -0.136667, -0.0188496
50, 3679734823, -0.136258, -0.0204204
50, 3679739823, -0.135869, -0.0219911
50, 3679744823, -0.13546, -0.0235619
50, 3679749823, -0.135031, -0.0235619
50, 3679754823, -0.134622, -0.0251327
50, 3679759823, -0.134213, -0.0267035
50, 3679764823, -0.133824, -0.0267035
50, 3679769823, -0.133484, -0.0282743
50, 3679774823, -0.133075, -0.0282743
50, 3679779823, -0.132666, -0.0298451
50, 3679784823, -0.132257, -0.0314159
50, 3679789823, -0.131828, -0.0314159
50, 3679794823, -0.131419, -0.0329867
50, 3679799823, -0.13101, -0.0345575
50, 3679804823, -0.130591, -0.0345575
50, 3679809823, -0.130172, -0.0361283
50, 3679814823, -0.129753, -0.0361283
50, 3679819823, -0.129334, -0.0376991
50, 3679824823, -0.128925, -0.0376991
50, 3679829823, -0.128506, -0.0392699
50, 3679834823, -0.128107, -0.0392699
50, 3679839823, -0.127718, -0.0408407
50, 3679844823, -0.127319, -0.0408407
50, 3679849823, -0.12692, -0.0424115
50, 3679854823, -0.126521, -0.0424115
50, 3679859823, -0.126142, -0.0424115
50, 3679864823, -0.125763, -0.0439823
50, 3679869823, -0.125374, -0.0439823
50, 3679874823, -0.124975, -0.0439823
50, 3679879823, -0.124575, -0.0455531
50, 3679884823, -0.124196, -0.0455531
50, 3679889823, -0.123827, -0.0455531
50, 3679894823, -0.123438, -0.0455531
50, 3679899823, -0.123039, -0.0471239
50, 3679904823, -0.12263, -0.0471239
50, 3679909823, -0.122231, -0.0471239
50, 3679914823, -0.121832, -0.0471239
50, 3679919823, -0.121433, -0.0471239
50, 3679924823, -0.121024, -0.0486947
50, 3679929823, -0.120605, -0.0486947
50, 3679934823, -0.120186, -0.0486947
50, 3679939823, -0.119787, -0.0486947
50, 3679944823, -0.119378, -0.0486947
50, 3679949823, -0.119029, -0.0486947
50, 3679954823, -0.11861, -0.0486947
50, 3679959823, -0.118211, -0.0486947
50, 3679964823, -0.117802, -0.0502655
50, 3679969823, -0.117363, -0.0502655
50, 3679974823, -0.116914, -0.0502655
50, 3679979823, -0.116495, -0.0502655
50, 3679984823, -0.116076, -0.0502655
50, 3679989823, -0.115657, -0.0502655
50, 3679994823, -0.115238, -0.0502655
50, 3679999823, -0.114809, -0.0502655
50, 3680004823, -0.11439, -0.0502655
50, 3680009823, -0.114, -0.0486947
50, 3680014823, -0.113591, -0.0486947
50, 3680019823, -0.113192, -0.0486947
50, 3680024823, -0.112793, -0.0486947
50, 3680029823, -0.112384, -0.0486947
50, 3680034823, -0.111965, -0.0486947
50, 3680039823, -0.111556, -0.0471239
50, 3680044823, -0.111137, -0.0471239
50, 3680049823, -0.110728, -0.0471239
50, 3680054823, -0.110319, -0.0471239
50, 3680059823, -0.10992, -0.0455531
50, 3680064823, -0.109501, -0.0455531
50, 3680069823, -0.109062, -0.0455531
50, 3680074823, -0.108643, -0.0439823
50, 3680079823, -0.108234, -0.0439823
50, 3680084823, -0.107815, -0.0439823
50, 3680089823, -0.107356, -0.0424115
50, 3680094823, -0.106917, -0.0424115
50, 3680099823, -0.106488, -0.0424115
50, 3680104823, -0.106049, -0.0408407
50, 3680109823, -0.10561, -0.0408407
50, 3680114823, -0.105171, -0.0392699
50, 3680119823, -0.104732, -0.0392699
50, 3680124823, -0.104293, -0.0392699
50, 3680129823, -0.103854, -0.0376991
50, 3680134823, -0.103425, -0.0376991
50, 3680139823, -0.103066, -0.0376991
50, 3680144823, -0.102617, -0.0361283
50, 3680149823, -0.102188, -0.0345575
50, 3680154823, -0.101779, -0.0345575
50, 3680159823, -0.10135, -0.0329867
50, 3680164823, -0.100911, -0.0314159
50, 3680169823, -0.100502, -0.0314159
50, 3680174823, -0.100113, -0.0314159
50, 3680179823, -0.0996843, -0.0298451
50, 3680184823, -0.0992554, -0.0282743
50, 3680189823, -0.0988563, -0.0282743
50, 3680194823, -0.0984572, -0.0267035
50, 3680199823, -0.0980482, -0.0251327
50, 3680204823, -0.0976492, -0.0235619
50, 3680209823, -0.0972501, -0.0235619
50, 3680214823, -0.0968311, -0.0219911
50, 3680219823, -0.0964221, -0.0204204
50, 3680224823, -0.096023, -0.0204204
50, 3680229823, -0.0956339, -0.0188496
